text	minutes
text	30.7147114156322
text	30.6550588684526
control	26.8998294762761
text	30.219860447423
control	27.3694556193903
text	29.3854419340695
text	30.1569852471238
text	31.0356985377443
text	30.1747987756013
control	30.2032403722687
control	26.1481348948262
control	27.7670341318083
control	30.9523971730173
text	31.046476894438
text	29.0974777500441
control	29.0346674589022
text	31.0661031424187
text	28.2940696566857
control	28.1211222121503
text	29.2921463045285
control	26.4639252071758
text	30.2759287824793
control	26.4886647040721
control	30.3454661462084
control	28.1487593125499
control	27.9625246515332
text	29.8918497067464
text	29.9712577859887
text	29.2625799551077
text	29.748403852374
text	30.5774101200934
text	29.3735598457704
text	30.5618881405909
control	27.6298497592432
control	26.2613398662872
text	29.8123819720296
text	30.4012962470275
text	29.4451433043739
control	25.7599110492081
control	26.8292137616528
control	27.3694726199522
control	27.3060929205964
control	25.9329096503458
text	28.2038853053744
control	27.1477408791735
text	28.3024633054677
control	27.1025128631952
control	25.8206757169413
control	28.4738927456605
control	27.391186046342
text	29.8906007995635
text	28.8266579626885
control	27.4692177630631
text	29.177181303337
text	30.8419078958401
control	29.2434534203672
control	28.3871529393546
control	27.6919336352208
control	28.2655751578924
text	30.8480169995578
