"ages"	"hours"	"p"
"1"	50	3.62392007465864	29.5238590687028
"2"	26	2.46003806827001	22.1020604077047
"3"	35	3.80705242670842	20.9540493051396
"4"	28	3.03903789364689	18.2936491144868
"5"	43	0.708958901586293	33.0966164089178
"6"	45	4.41943114028671	29.7609298579285
"7"	28	3.87684331668027	18.7361802980747
"8"	24	1.85372226131951	21.906872564533
"9"	24	2.22199032809863	19.6016666891759
"10"	28	1.60955674008991	25.6706470317702
"11"	46	6.14818892713691	23.2410345170246
"12"	38	1.11753094047305	26.5495259529042
"13"	42	5.03579897202645	23.9738928552123
"14"	28	3.09881880358179	18.9119896239148
"15"	26	2.1349467552209	20.7631297521456
"16"	20	4.43179790378024	12.7975398695175
"17"	28	2.46813382951803	18.754353792808
"18"	24	2.31933043987403	19.7213477608783
"19"	29	0.486023443089078	23.6093143902286
"20"	38	5.54050707834691	20.4594469442112
"21"	20	0.490438646906394	22.1799408573843
"22"	47	1.63623702988827	30.5951997518494
"23"	37	-0.434362099344378	31.9740386341301
"24"	50	5.86873142213912	23.5923021748131
"25"	27	3.87573365361538	14.2262163139772
"26"	26	5.94952882014778	14.9833009648724
"27"	46	1.40918289395912	31.3054634182258
"28"	45	4.72139872844021	24.6293325624174
"29"	44	2.66469286134144	27.7404785485012
"30"	33	1.53754605982485	25.9488065045774
"31"	43	3.40028264766718	23.5610372293315
"32"	31	2.12199228151931	22.0167956437459
"33"	34	2.38927130790661	25.6883757437179
"34"	47	2.12272783978027	31.3065588546773
"35"	38	2.36593854520905	28.6550162202718
"36"	44	4.18121604808824	26.3720108485641
"37"	41	3.6772948313686	24.0486569090621
"38"	35	3.83359917702371	19.4731617441061
"39"	27	3.80157225142663	14.0673347541149
"40"	45	4.9117141591798	23.9032519000871
"41"	48	2.78206322695941	30.5349725058401
"42"	31	3.68301022868676	18.0020630975469
"43"	20	2.65189820213451	16.6452496691623
"44"	38	0.511504403240442	30.8565081769833
"45"	45	3.41508973471213	25.2167820550645
"46"	46	4.32521173872852	26.1467995947205
"47"	33	5.01115167930651	20.1554498163846
"48"	22	4.11777906599889	12.3926549377528
"49"	39	4.89168092103954	22.4181839472294
"50"	38	2.2437043016527	24.5781593716853
"51"	22	-0.149210250779773	24.2038647675169
"52"	43	4.19997867057973	30.5023269306937
"53"	26	3.72915060335507	18.0586432466878
"54"	25	3.08794546676659	20.0545605757621
"55"	34	3.66005366945071	20.7924273134995
"56"	44	2.71506391284912	29.079768435511
"57"	23	3.90206582882207	11.860259629417
"58"	40	4.12422593349588	25.8037023699082
"59"	30	2.07189469255498	24.3800992113456
"60"	39	3.37036248505299	25.6670177167418
"61"	31	4.59372134371097	19.6283735445684
"62"	36	3.52161655719955	22.341430804855
"63"	38	3.99076953139024	21.9499487460007
"64"	48	1.91358695018222	35.071231537156
"65"	44	0.879767024815714	31.65332298361
"66"	21	2.36452018599503	20.6757504817598
"67"	36	2.74964387364373	24.929966882539
"68"	41	2.65771751101866	28.790504138487
"69"	44	0.863574726435839	30.6160036475254
"70"	22	2.92968026319034	16.1828901812971
"71"	29	2.7330491765459	19.8509323478848
"72"	29	4.53295833255983	14.3344138891574
"73"	50	-0.102770841215727	33.4819957139504
"74"	21	5.71015728141501	7.76385604393136
"75"	21	1.29803988244358	18.4736363748881
"76"	49	3.05787912572625	26.6484920737012
"77"	42	4.90544102256414	22.2694990511648
"78"	45	2.35245776946049	31.1306906257076
"79"	40	1.34717135814827	26.887884236144
"80"	31	1.83521125635416	22.3347489181596
"81"	35	0.783566838747757	30.0610954640862
"82"	27	2.38464575948668	21.0001933061898
"83"	33	1.25661144805205	28.0571820265783
"84"	48	3.22557691060795	30.1660887958375
"85"	23	1.3035745769475	21.5769289790182
"86"	41	3.22579759638349	23.7758490070842
"87"	21	4.69629648394042	13.5795333194287
"88"	40	2.73051563432916	24.8038782391545
"89"	46	1.79726282623396	30.813022376373
"90"	31	5.85630556691844	14.762822493574
"91"	35	4.98206841318004	17.251412411478
"92"	36	2.54613304248037	24.4972871055995
"93"	41	0.838559153260211	34.0873043660137
"94"	36	1.11038728338745	31.2063426203294
"95"	21	2.17457917883371	19.5237352296998
"96"	32	1.5362137964117	25.5472800182113
"97"	41	2.06610125117215	26.3657747521434
"98"	44	4.19117285030804	27.2085734944845
"99"	50	1.3115299874104	34.7010104912533
"100"	38	1.83876767096538	26.4478725415125
"101"	82	6.1372870648491	47.8214482974213
"102"	67	6.81104638983067	38.931864446002
"103"	74	3.58212816097216	52.4460793340303
"104"	84	3.9293568009011	53.9849203296488
"105"	83	3.01491429109068	58.6395681461396
"106"	59	3.39155860019452	48.5632319146968
"107"	78	7.53656519086008	41.3861480084941
"108"	54	7.5046730812133	33.386099502476
"109"	61	4.27983702956379	47.3399137041664
"110"	71	3.07793600219584	53.8512009627348
"111"	79	4.21665716995258	53.2665351795036
"112"	69	4.27948422114591	50.5295589098258
"113"	52	2.94433516410025	47.2815165083308
"114"	58	6.75175628067788	37.2141704282431
"115"	59	5.90719267271584	39.8407809030877
"116"	68	5.01780961417335	46.4491586094056
"117"	81	4.24772176373554	51.2695536273704
"118"	59	5.12645458039152	42.3045978245329
"119"	60	8.4100048008743	31.7697544187424
"120"	65	3.77656189367376	48.4955448106267
"121"	60	5.83163681064656	38.8099086232887
"122"	61	2.64151461589863	50.8238630325556
"123"	55	8.73976509255181	28.6132489117335
"124"	81	5.68783084060568	48.0255948136114
"125"	53	5.04570385461058	40.5350203863381
"126"	62	6.09853424642794	40.4856270569446
"127"	79	6.62114216442551	45.5341279631074
"128"	56	4.56673562555934	43.2049811340433
"129"	64	8.45064909560242	34.2330171395634
"130"	63	7.7567588376702	35.6114521324203
"131"	61	4.92265318980792	45.2420410512121
"132"	54	5.71566925169361	38.0790112261969
"133"	67	3.38068488658844	49.4085765452933
"134"	56	4.96013401721577	40.4391011343881
"135"	64	5.64102530815959	42.3878908525153
"136"	84	5.02121945423141	51.214627261095
"137"	68	4.55421200698001	46.4515593080191
"138"	77	5.31676672149453	46.159272323884
"139"	77	6.09150447703421	42.7646440228202
"140"	56	4.50894000663899	43.046449055195
"141"	78	6.72050020428392	41.1600986019422
"142"	55	5.09606208935139	41.4761953183716
"143"	78	5.56935684665979	47.1826397380679
"144"	61	7.98821551637991	32.6401490825841
"145"	80	5.42665610313941	49.3064255081841
"146"	81	5.02515567111486	49.8540159728884
"147"	61	4.7303344972119	45.584516774693
"148"	67	3.71444825511211	50.5106573361605
"149"	58	7.20166826026842	35.5312953115623
"150"	50	6.57193812608409	35.1439605552151
"151"	85	7.78835634549473	40.43657763699
"152"	72	3.07270177024248	53.587186731937
"153"	74	2.07671325622994	56.7483680868212
"154"	77	7.90835377068675	39.1960135417824
"155"	68	5.56315394167885	44.5523957273283
"156"	51	4.63945660544422	41.4033314974781
"157"	80	4.10975029620465	52.4119936855644
"158"	82	7.78054362300921	41.8623320045342
"159"	72	6.6164758895298	42.5946353733893
"160"	50	2.9061726941651	48.6546879072864
"161"	60	6.98680216181268	36.9020747411507
"162"	73	6.44045812493142	44.2870306963541
"163"	80	6.92118990645893	42.4776704729968
"164"	60	4.63253988886216	43.2854798433287
"165"	58	6.4412875855857	37.2576749026015
"166"	52	6.95221906369427	33.7994265452084
"167"	60	5.17544570940356	42.8350610883478
"168"	78	7.59368163999335	39.26661876208
"169"	60	7.20443590582092	36.2790650452583
"170"	82	3.72575863377287	53.4797749578643
"171"	58	2.63486182634971	49.0343475003149
"172"	52	8.17212006060995	29.2366261887514
"173"	74	7.89299576417542	38.1291009245978
"174"	81	5.18952775203984	49.6474644105514
"175"	74	5.59989979127325	44.0353276899375
"176"	83	8.4800386602312	39.0156586206287
"177"	73	2.516872177781	55.8438003855632
"178"	77	3.74592676849393	53.1437106669259
